action,current_uses,line,notes,ref,resolved_sha,status,suggested_uses,workflow
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,17,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/ci.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,20,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/ci.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,53,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/ci.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,56,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/ci.yml
actions/checkout,actions/checkout@df4cb1c069e1874edd31b4311f1884172cec0e10,78,Already pinned to a full SHA.,df4cb1c069e1874edd31b4311f1884172cec0e10,,skipped_sha,,.github/workflows/ci.yml
actions/setup-python,actions/setup-python@42375524e23c412d93fb67b49958b491fce71c38,81,Already pinned to a full SHA.,42375524e23c412d93fb67b49958b491fce71c38,,skipped_sha,,.github/workflows/ci.yml
astral-sh/setup-uv,astral-sh/setup-uv@fac544c07dec837d0ccb6301d7b5580bf5edae39,84,Already pinned to a full SHA.,fac544c07dec837d0ccb6301d7b5580bf5edae39,,skipped_sha,,.github/workflows/ci.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,20,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/dashboard-preview.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,23,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/dashboard-preview.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,28,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/dashboard-preview.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,20,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/data-smoke.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,23,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/data-smoke.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,35,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/harness-assurance.yml
