source,target,relationship
source:au_mbs,jurisdiction:australia,in_jurisdiction
source:au_mbs,domain:medical_services,covers_domain
source:au_pbs,jurisdiction:australia,in_jurisdiction
source:au_pbs,domain:medicines,covers_domain
source:au_ihacpa_nep,jurisdiction:australia,in_jurisdiction
source:au_ihacpa_nep,domain:hospital,covers_domain
source:au_msac,jurisdiction:australia,in_jurisdiction
source:au_msac,domain:coverage_decisions,covers_domain
source:au_pbac,jurisdiction:australia,in_jurisdiction
source:au_pbac,domain:coverage_decisions,covers_domain
source:us_cms_pfs,jurisdiction:united_states,in_jurisdiction
source:us_cms_pfs,domain:medical_services,covers_domain
source:us_cms_clfs,jurisdiction:united_states,in_jurisdiction
source:us_cms_clfs,domain:laboratory,covers_domain
source:us_cms_opps,jurisdiction:united_states,in_jurisdiction
source:us_cms_opps,domain:hospital_outpatient,covers_domain
source:us_cms_ipps,jurisdiction:united_states,in_jurisdiction
source:us_cms_ipps,domain:hospital_inpatient,covers_domain
source:us_cms_asp,jurisdiction:united_states,in_jurisdiction
source:us_cms_asp,domain:medicines,covers_domain
source:us_cms_mcd,jurisdiction:united_states,in_jurisdiction
source:us_cms_mcd,domain:coverage_decisions,covers_domain
source:us_medicaid_state_fees,jurisdiction:united_states,in_jurisdiction
source:us_medicaid_state_fees,domain:medical_services,covers_domain
source:uk_nhs_payment_scheme,jurisdiction:england,in_jurisdiction
source:uk_nhs_payment_scheme,domain:hospital,covers_domain
source:uk_nhs_drug_tariff,jurisdiction:england,in_jurisdiction
source:uk_nhs_drug_tariff,domain:medicines,covers_domain
source:uk_genomic_test_directory,jurisdiction:england,in_jurisdiction
source:uk_genomic_test_directory,domain:genomics,covers_domain
source:ca_on_ohip,jurisdiction:canada_ontario,in_jurisdiction
source:ca_on_ohip,domain:medical_services,covers_domain
source:ca_bc_msp,jurisdiction:canada_british_columbia,in_jurisdiction
source:ca_bc_msp,domain:medical_services,covers_domain
source:ca_ab_somb,jurisdiction:canada_alberta,in_jurisdiction
source:ca_ab_somb,domain:medical_services,covers_domain
source:nz_pharmac,jurisdiction:new_zealand,in_jurisdiction
source:nz_pharmac,domain:medicines_devices,covers_domain
source:de_ebm,jurisdiction:germany,in_jurisdiction
source:de_ebm,domain:medical_services,covers_domain
source:de_gdrg,jurisdiction:germany,in_jurisdiction
source:de_gdrg,domain:hospital,covers_domain
source:fr_ccam,jurisdiction:france,in_jurisdiction
source:fr_ccam,domain:medical_services,covers_domain
source:fr_lpp,jurisdiction:france,in_jurisdiction
source:fr_lpp,domain:devices,covers_domain
source:fr_haspub,jurisdiction:france,in_jurisdiction
source:fr_haspub,domain:coverage_decisions,covers_domain
source:nl_nza_dbc,jurisdiction:netherlands,in_jurisdiction
source:nl_nza_dbc,domain:hospital_specialist,covers_domain
source:be_inami,jurisdiction:belgium,in_jurisdiction
source:be_inami,domain:medical_services,covers_domain
source:jp_mhlw_fee,jurisdiction:japan,in_jurisdiction
source:jp_mhlw_fee,domain:medical_services,covers_domain
source:jp_nhi_drug_prices,jurisdiction:japan,in_jurisdiction
source:jp_nhi_drug_prices,domain:medicines,covers_domain
source:tw_nhi_services,jurisdiction:taiwan,in_jurisdiction
source:tw_nhi_services,domain:medical_services,covers_domain
source:kr_hira,jurisdiction:south_korea,in_jurisdiction
source:kr_hira,domain:medical_services,covers_domain
source:ch_tarmed_tardoc,jurisdiction:switzerland,in_jurisdiction
source:ch_tarmed_tardoc,domain:medical_services,covers_domain
source:ch_swissdrg,jurisdiction:switzerland,in_jurisdiction
source:ch_swissdrg,domain:hospital,covers_domain
source:ch_specialities_list,jurisdiction:switzerland,in_jurisdiction
source:ch_specialities_list,domain:medicines,covers_domain
source:dk_drg,jurisdiction:denmark,in_jurisdiction
source:dk_drg,domain:hospital,covers_domain
source:no_helfo_tariffs,jurisdiction:norway,in_jurisdiction
source:no_helfo_tariffs,domain:medical_services,covers_domain
source:se_tlv,jurisdiction:sweden,in_jurisdiction
source:se_tlv,domain:medicines,covers_domain
source:se_norddrg,jurisdiction:sweden,in_jurisdiction
source:se_norddrg,domain:hospital,covers_domain
source:sg_fee_benchmarks,jurisdiction:singapore,in_jurisdiction
source:sg_fee_benchmarks,domain:price_benchmarks,covers_domain
source:oecd_health_stats,jurisdiction:multi_country,in_jurisdiction
source:oecd_health_stats,domain:contextual,covers_domain
source:who_gho,jurisdiction:multi_country,in_jurisdiction
source:who_gho,domain:contextual,covers_domain
source:us_cms_asc,jurisdiction:united_states,in_jurisdiction
source:us_cms_asc,domain:hospital_outpatient,covers_domain
source:us_cms_dmepos,jurisdiction:united_states,in_jurisdiction
source:us_cms_dmepos,domain:devices_equipment,covers_domain
source:us_cms_snf,jurisdiction:united_states,in_jurisdiction
source:us_cms_snf,domain:post_acute,covers_domain
source:us_cms_home_health,jurisdiction:united_states,in_jurisdiction
source:us_cms_home_health,domain:community_care,covers_domain
source:us_cms_partd_puf,jurisdiction:united_states,in_jurisdiction
source:us_cms_partd_puf,domain:medicines,covers_domain
source:au_aihw_mbs_pbs_stats,jurisdiction:australia,in_jurisdiction
source:au_aihw_mbs_pbs_stats,domain:utilisation,covers_domain
source:uk_nice_guidance,jurisdiction:england,in_jurisdiction
source:uk_nice_guidance,domain:coverage_decisions,covers_domain
source:uk_nhs_reference_costs,jurisdiction:england,in_jurisdiction
source:uk_nhs_reference_costs,domain:costs,covers_domain
source:ca_qc_ramq,jurisdiction:canada_quebec,in_jurisdiction
source:ca_qc_ramq,domain:medical_services,covers_domain
source:ca_ciihi_cmg,jurisdiction:canada,in_jurisdiction
source:ca_ciihi_cmg,domain:hospital,covers_domain
source:ie_hse_reimbursement,jurisdiction:ireland,in_jurisdiction
source:ie_hse_reimbursement,domain:medicines,covers_domain
source:fi_kela_reimbursements,jurisdiction:finland,in_jurisdiction
source:fi_kela_reimbursements,domain:medicines,covers_domain
source:es_bifimed,jurisdiction:spain,in_jurisdiction
source:es_bifimed,domain:medicines,covers_domain
source:it_aifa_reimbursement,jurisdiction:italy,in_jurisdiction
source:it_aifa_reimbursement,domain:medicines,covers_domain
source:br_sigtap,jurisdiction:brazil,in_jurisdiction
source:br_sigtap,domain:medical_services,covers_domain
source:za_upfs,jurisdiction:south_africa,in_jurisdiction
source:za_upfs,domain:medical_services,covers_domain
source:in_abpmjay_hbp,jurisdiction:india,in_jurisdiction
source:in_abpmjay_hbp,domain:hospital,covers_domain
source:is_hta_catalogue,jurisdiction:israel,in_jurisdiction
source:is_hta_catalogue,domain:coverage_decisions,covers_domain
source:mx_imss_costs,jurisdiction:mexico,in_jurisdiction
source:mx_imss_costs,domain:medical_services,covers_domain
source:us_cms_hospice,jurisdiction:united_states,in_jurisdiction
source:us_cms_hospice,domain:palliative_end_of_life,covers_domain
version:au_mbs_seed_fixture,source:au_mbs,version_of
version:us_cms_clfs_seed_fixture,source:us_cms_clfs,version_of
version:uk_genomic_directory_seed_fixture,source:uk_genomic_test_directory,version_of
version:au_mbs_2010_2019_downloads_page,source:au_mbs,version_of
version:au_mbs_1989_2010_previous_downloads_page,source:au_mbs,version_of
version:au_pbs_seed_fixture,source:au_pbs,version_of
version:us_cms_pfs_seed_fixture,source:us_cms_pfs,version_of
version:us_cms_asp_seed_fixture,source:us_cms_asp,version_of
version:au_mbs_20260701_txt_pair,source:au_mbs,version_of
version:us_cms_clfs_26clabq3_ama_zip,source:us_cms_clfs,version_of
version:au_pbs_api_v3_current_month,source:au_pbs,version_of
version:us_cms_asp_july_2026_payment_limit,source:us_cms_asp,version_of
version:us_cms_pfs_rvu26c,source:us_cms_pfs,version_of
source_file:au_mbs_20260701_imap_txt,version:au_mbs_20260701_txt_pair,file_for_version
source_file:au_mbs_20260701_imap_txt,source:au_mbs,file_for_source
source_file:au_mbs_20260701_desc_txt,version:au_mbs_20260701_txt_pair,file_for_version
source_file:au_mbs_20260701_desc_txt,source:au_mbs,file_for_source
source_file:au_mbs_2010_2019_downloads_page,version:au_mbs_2010_2019_downloads_page,file_for_version
source_file:au_mbs_2010_2019_downloads_page,source:au_mbs,file_for_source
source_file:au_mbs_1989_2010_previous_downloads_page,version:au_mbs_1989_2010_previous_downloads_page,file_for_version
source_file:au_mbs_1989_2010_previous_downloads_page,source:au_mbs,file_for_source
source_file:us_cms_clfs_26clabq3_page,version:us_cms_clfs_26clabq3_ama_zip,file_for_version
source_file:us_cms_clfs_26clabq3_page,source:us_cms_clfs,file_for_source
source_file:us_cms_clfs_26clabq3_ama_zip,version:us_cms_clfs_26clabq3_ama_zip,file_for_version
source_file:us_cms_clfs_26clabq3_ama_zip,source:us_cms_clfs,file_for_source
source_file:au_pbs_api_v3_documentation,version:au_pbs_api_v3_current_month,file_for_version
source_file:au_pbs_api_v3_documentation,source:au_pbs,file_for_source
source_file:us_cms_asp_july_2026_payment_limit_page,version:us_cms_asp_july_2026_payment_limit,file_for_version
source_file:us_cms_asp_july_2026_payment_limit_page,source:us_cms_asp,file_for_source
source_file:us_cms_pfs_rvu26c_page,version:us_cms_pfs_rvu26c,file_for_version
source_file:us_cms_pfs_rvu26c_page,source:us_cms_pfs,file_for_source
analysis:cognitive_vs_procedural_ratio,source:au_mbs,requires_source
analysis:cognitive_vs_procedural_ratio,source:us_cms_pfs,requires_source
analysis:cognitive_vs_procedural_ratio,source:ca_on_ohip,requires_source
