archive_capture_count,archive_digests_sha1_base32,archive_timestamps,id,local_checksum_sha1_base32,local_checksum_sha256,official_receipt_status,publication_identity_observed,raw_redistribution_status,rights_source,source_byte_verified,source_url,source_version_id,verification_status
1,"[""LA6QJOUCI2DBKTRCJXHEMTYSHHTCLMYG""]","[""20130423221318""]",au_pbs_archive_0042c4886da1d4a5,LA6QJOUCI2DBKTRCJXHEMTYSHHTCLMYG,702d80f7b80b510cb39b94c6f51e4625bb534c3615e6dfce3a2c0444998903a0,cached,True,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2012/10/2012-10-01-dental-book.pdf,au_pbs_archive_2012_10_01_0042c4886da1,exact_digest_match
1,"[""NXHXFVH7W5PVFATZ7GESQSHMMXSFKITF""]","[""20120227121945""]",au_pbs_archive_00cf3278cf9d1577,NXHXFVH7W5PVFATZ7GESQSHMMXSFKITF,983a9c34383a61fad3cba27e84943d66a113776ee224bf5aed76332bbfbd203c,cached,True,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2011/02/2011-02-01-dental-book-SOC.pdf,au_pbs_archive_2011_02_01_00cf3278cf9d,exact_digest_match
0,[],[],au_pbs_archive_00fe61de194c5cf6,LQY2PKJKWIUQS7RAQNJBGPLZ4F36CYMS,c1c83bd3e245435e8626a29f19930e41f25a444bdb9a03c2eeb27b3119f97b25,cached,True,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,False,https://www.pbs.gov.au/publication/schedule/2020/10/updated-pbs-text-files.pdf,au_pbs_archive_unknown_00fe61de194c,no_archive_capture
1,"[""LCPHU6RQXCILVMOXEIUO4O6OBDW5F6PA""]","[""20231106134259""]",au_pbs_archive_01275a1d2b1e0f32,LCPHU6RQXCILVMOXEIUO4O6OBDW5F6PA,cdb4e92dde1404f8c172b51d69ce5244687c8facb0e605e8bdc21ad5e6a4b189,cached,True,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2023/05/2023-05-01-general-schedule-volume-1.pdf,au_pbs_archive_2023_05_01_01275a1d2b1e,exact_digest_match
1,"[""Z56J4FLCWZ3OBIIO6B5PBLASGKEYH742""]","[""20200322113738""]",au_pbs_archive_01330652d121f688,Z56J4FLCWZ3OBIIO6B5PBLASGKEYH742,4a4b686f7b92a08459350bb8e822d63afa6c1d9aa6af844a40e1de64a0a539c8,cached,True,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2019/04/2019-04-01-general-schedule.pdf,au_pbs_archive_2019_04_01_01330652d121,exact_digest_match
0,[],[],au_pbs_archive_014ce140a40085cf,UCLGLJDVRUVBROWU2ZR7ZILGEY4X3JHQ,4749e7ad53414b31f1d0ea2eef6a6fc2f591643069b8e857f092862287a15a4d,cached,True,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,False,https://www.pbs.gov.au/publication/schedule/2008/2008-07-01-general-schedule-soc.pdf,au_pbs_archive_2008_07_01_014ce140a400,no_archive_capture
1,"[""LKAOYMERKTFJR7QEJAAHXY5427WMC4T3""]","[""20150303082122""]",au_pbs_archive_0244f530276be5e7,LKAOYMERKTFJR7QEJAAHXY5427WMC4T3,465540473ac2c8d13511d6a01c18e692cb2cd7ccef103828ddbdecb61443a5b1,cached,True,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2014/10/2014-10-01-efc-schedule.pdf,au_pbs_archive_2014_10_01_0244f530276b,exact_digest_match
0,[],[],au_pbs_archive_02bedf73d6dc304f,M57PIR4ZH7YL24EUBJQDZOQOM43ZF62C,660f5d1eb2cdad7648bf4acf897e876ea0627b767a771af08fb10b378b7b79e5,cached,True,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,False,https://www.pbs.gov.au/publication/schedule/2008/2008-01-01-general-schedule.pdf,au_pbs_archive_2008_01_01_02bedf73d6dc,no_archive_capture
1,"[""JHS2BLY5SVBU4BELSI3D5OCTJBCZJRZ3""]","[""20140126044043""]",au_pbs_archive_02d2d5fa173e8a04,JHS2BLY5SVBU4BELSI3D5OCTJBCZJRZ3,5833a73f8658d3f2ec368fe483858790ddada88bd613b648fc45eca5ab937d9d,cached,True,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,True,https://www.pbs.gov.au/publication/schedule/2013/10/2013-10-01-errata.pdf,au_pbs_archive_2013_10_01_02d2d5fa173e,exact_digest_match
0,[],[],au_pbs_archive_02ff51afca816815,KOU26F7HJEQGWK2OHBMVHD4J3LZ3W7MM,27af3e56cc5e3ba560a28c616d1f582ac5a1f85259885693e487fbce6c28d9de,cached,True,blocked_pending_explicit_permission,https://www.pbs.gov.au/info/general/copyright,False,https://www.pbs.gov.au/publication/schedule/2010/2010-12-01-dental-book-SOC.pdf,au_pbs_archive_2010_12_01_02ff51afca81,no_archive_capture
