allowed,import_kind,line,reason,source_layer,source_module,target_layer,target_module
True,from,3,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas,foundation,reimburse_atlas.contracts
True,from,10,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas,foundation,reimburse_atlas.models
True,from,17,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas,foundation,reimburse_atlas.registry
True,from,11,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.acquisition_pack,foundation,reimburse_atlas.io
True,from,12,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.acquisition_pack,foundation,reimburse_atlas.models
True,from,17,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.action_pins,orchestration,reimburse_atlas.automation
True,from,18,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.action_pins,foundation,reimburse_atlas.toolchain
True,from,3,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.adapters,orchestration,reimburse_atlas.adapters.base
True,from,4,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.adapters,orchestration,reimburse_atlas.adapters.fixture_csv
True,from,9,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.adapters,orchestration,reimburse_atlas.adapters.mbs_xml
True,from,17,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.adapters.base,foundation,reimburse_atlas.contracts
True,from,18,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.adapters.base,foundation,reimburse_atlas.models
True,from,13,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.adapters.fixture_csv,orchestration,reimburse_atlas.adapters.base
True,from,14,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.adapters.fixture_csv,foundation,reimburse_atlas.contracts
True,from,16,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.adapters.mbs_xml,orchestration,reimburse_atlas.adapters.base
True,from,17,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.adapters.mbs_xml,foundation,reimburse_atlas.contracts
