byte_size,checksum_sha256,contains_raw_source_payload,decision_evidence,licence_gate,publication_scope,relative_path,restrictions,review_id,review_status,reviewed_at,reviewer
6,45fd2f9df187bc411dc80df5c4c4844ac00f4dd69bc69453f1893a5d143433d6,False,,public_reuse_review,public_derived_candidate,data/derived/architecture/import_cycles.csv,,licence_review_0d1d1517a8a58a1c,pending,,
0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,,public_reuse_review,public_derived_candidate,data/derived/architecture/import_cycles.jsonl,,licence_review_d20acd8327b4fd5b,pending,,
29830,c3f9e1d38a3a9f2b57c936543929a854e726cfd10c274c2168ec6c285ae74355,False,,public_reuse_review,public_derived_candidate,data/derived/architecture/import_edges.csv,,licence_review_6e1b535f3b3b7a9b,pending,,
56599,fbee8199342bd8a5396a6629e7b783c9d4ecf15ef766f96dbb06c489d6823b72,False,,public_reuse_review,public_derived_candidate,data/derived/architecture/import_edges.jsonl,,licence_review_38c5bcd142fb0e88,pending,,
2581,54c59ab2d315faa6e1b7ea00e926591293319e1c00c14fcb1732ef22821aa340,False,,public_reuse_review,public_derived_candidate,data/derived/architecture/layer_policy.csv,,licence_review_4ab79170518c3f3b,pending,,
5058,4c6e0d2c172f81d3c2417f6f3c5f279b3b8d8481d8df9d58ef360babbc5e8815,False,,public_reuse_review,public_derived_candidate,data/derived/architecture/layer_policy.jsonl,,licence_review_743f8f76df59c0d1,pending,,
70929,c86c833fde7427fb40aabcfd7a23214a032475d83703b0822bd96fce88b97167,False,,public_reuse_review,public_derived_candidate,data/derived/data_dictionary/data_dictionary.csv,,licence_review_caa349598c6fad6a,pending,,
93996,99e4162221a5f3a0280459d95d3bc6e8f80969980d714d62b533ffc38535d8bd,False,,public_reuse_review,public_derived_candidate,data/derived/data_dictionary/data_dictionary.jsonl,,licence_review_f7b01042291532e2,pending,,
122,823939d79aa69190c2a4e3c4439cb1005812c5c2661225dbedc7f7a6762105cb,False,,public_reuse_review,public_derived_candidate,data/derived/data_dictionary/summary.json,,licence_review_469359631e5a534e,pending,,
8710,f25c74b8a83c77ed1d0d89dd5a5e3d2a617bb1078a0e74b8856dfe2faa1613cf,False,,public_reuse_review,public_derived_candidate,data/derived/data_quality/data_quality_checks.csv,,licence_review_cc9087bd3de7307f,pending,,
15125,f0deac1767673314e762282ab14c196074a8aa1d9246a5b87ad823a8095e0e03,False,,public_reuse_review,public_derived_candidate,data/derived/data_quality/data_quality_checks.jsonl,,licence_review_8f2eddaed2e30bc3,pending,,
106,895719b62c45a6fb64f8f3e786a469f0e16122cb7c7e520854a7ba548af12a83,False,,public_reuse_review,public_derived_candidate,data/derived/data_quality/summary.json,,licence_review_557cda884c61fd08,pending,,
1393,01a23bba7b93f265277910a350e2a7880be4f6eee8095a0fcf3e2fde5a6f51b7,False,,public_reuse_review,public_derived_candidate,data/derived/evidence_readiness/evidence_readiness.csv,,licence_review_87e78172210f7d95,pending,,
2972,2e946e4342ea39c68a04a1136dd20ca6b618ca1c2297a27f6ac35bfa07adca2d,False,,public_reuse_review,public_derived_candidate,data/derived/evidence_readiness/evidence_readiness.jsonl,,licence_review_99f8fb6295aacbd1,pending,,
150,5db1987ab9106a3cd08b19dd120a506637d5d9921fb79505f67b49115b52dc50,False,,public_reuse_review,public_derived_candidate,data/derived/evidence_readiness/summary.json,,licence_review_7e4c22db096f19c5,pending,,
2895,f84b92ad53119d6acbd6e2c096ffd083ab3ccb86d1e59ebe932faa8b7e6b2a56,False,,public_reuse_review,public_derived_candidate,data/derived/external_quality_gates.csv,,licence_review_96a1a777e30b710e,pending,,
4095,f071af6b8dcd130dec6624e1b38bd1b586cad9e64395fea6cdfc619334fb5d85,False,,public_reuse_review,public_derived_candidate,data/derived/external_quality_gates.json,,licence_review_f60d8afdee911a99,pending,,
6402,82cd56319f5ad2c2da59f97d521e558bc3ef146e7ea46ce0945f14345f8f963d,False,,public_reuse_review,public_derived_candidate,data/derived/final_handoff/final_handoff_tasks.csv,,licence_review_5ab681bddd7b0fb4,pending,,
8213,058579715fbcffa36dadfb8ae41918761d5d042bc91037a95e17f7d350584d09,False,,public_reuse_review,public_derived_candidate,data/derived/final_handoff/final_handoff_tasks.jsonl,,licence_review_702130e901efe858,pending,,
94086,0e04dc7197c4dc1d5a57479ae4d245789163c6ac465f8b9f5ce479cc01cb582a,False,,public_reuse_review,public_derived_candidate,data/derived/github_project/github_project_items.csv,,licence_review_6bbb168b51317fb0,pending,,
127537,8c6776e85e4ff8dce277971a726dbbfda79382683a4b8ef8f9de40866302fad6,False,,public_reuse_review,public_derived_candidate,data/derived/github_project/github_project_items.jsonl,,licence_review_a9d6e64b4a2fd3c3,pending,,
165598,1e9079aea17a80a24df2f2c67632dfcccd2d4d9f26db3e7683d0493da00c5d5a,False,,public_reuse_review,public_derived_candidate,data/derived/historical_sources/historical_mbs_archive_targets.csv,,licence_review_b5bbe2264142b9aa,pending,,
241941,9cb97661f46ef416791a7dd5024610195246e4e20b9b0b0138dae76b03775bbf,False,,public_reuse_review,public_derived_candidate,data/derived/historical_sources/historical_mbs_archive_targets.jsonl,,licence_review_94bc0f52e1714e8d,pending,,
794,b5435feb74f8c4606ba7372dfc94ae8e4388b6ce2d6beb078de3548fbaca7103,False,,public_reuse_review,public_derived_candidate,data/derived/historical_sources/summary.json,,licence_review_5a14a4840d986df5,pending,,
4136,053c7fedada5748760df88266eae727ef9357dd4fafe56f76b7268fbd241f22f,False,,public_reuse_review,public_derived_candidate,data/derived/local_quality_gates/local_quality_gate_specs.csv,,licence_review_79e40c0f143460b6,pending,,
7340,f1e985d1cacbacce24d30d26e88d7b287f89e2bf453b3ff345532abdaafff72e,False,,public_reuse_review,public_derived_candidate,data/derived/local_quality_gates/local_quality_gate_specs.jsonl,,licence_review_0f516a9099b0e4b6,pending,,
13018,6cc8b11301014d6cc238ce825f0661f10758743b0fe76d0d6baa8876568c33b8,False,,public_reuse_review,public_derived_candidate,data/derived/local_quality_gates/local_quality_gates.csv,,licence_review_b10c0ffdabd05f2c,pending,,
17917,a6c93cb436860c0c12c84ee51eede4ccf43c4f0b493546c4fbc21e39ba6c28e8,False,,public_reuse_review,public_derived_candidate,data/derived/local_quality_gates/local_quality_gates.jsonl,,licence_review_33431a70a2e4964b,pending,,
