action,is_official_github_action,line,pin_class,policy_note,policy_status,ref,uses,workflow
actions/checkout,True,25,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/action-pin-maintenance.yml
prefix-dev/setup-pixi,False,29,sha,Action is pinned to a full commit SHA.,pass,a09b6247153796b190642a2b53fac4241043cf6f,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,.github/workflows/action-pin-maintenance.yml
actions/upload-artifact,True,77,sha,Action is pinned to a full commit SHA.,pass,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,.github/workflows/action-pin-maintenance.yml
actions/checkout,True,17,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/ci.yml
prefix-dev/setup-pixi,False,20,sha,Action is pinned to a full commit SHA.,pass,a09b6247153796b190642a2b53fac4241043cf6f,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,.github/workflows/ci.yml
actions/checkout,True,59,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/ci.yml
actions/setup-node,True,62,sha,Action is pinned to a full commit SHA.,pass,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,.github/workflows/ci.yml
actions/checkout,True,84,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/ci.yml
actions/setup-python,True,87,sha,Action is pinned to a full commit SHA.,pass,ece7cb06caefa5fff74198d8649806c4678c61a1,actions/setup-python@ece7cb06caefa5fff74198d8649806c4678c61a1,.github/workflows/ci.yml
astral-sh/setup-uv,False,90,sha,Action is pinned to a full commit SHA.,pass,11f9893b081a58869d3b5fccaea48c9e9e46f990,astral-sh/setup-uv@11f9893b081a58869d3b5fccaea48c9e9e46f990,.github/workflows/ci.yml
actions/checkout,True,21,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/dashboard-browser.yml
actions/setup-node,True,24,sha,Action is pinned to a full commit SHA.,pass,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,.github/workflows/dashboard-browser.yml
actions/upload-artifact,True,43,sha,Action is pinned to a full commit SHA.,pass,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,.github/workflows/dashboard-browser.yml
actions/checkout,True,20,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/dashboard-preview.yml
actions/setup-node,True,23,sha,Action is pinned to a full commit SHA.,pass,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,.github/workflows/dashboard-preview.yml
prefix-dev/setup-pixi,False,28,sha,Action is pinned to a full commit SHA.,pass,a09b6247153796b190642a2b53fac4241043cf6f,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,.github/workflows/dashboard-preview.yml
actions/checkout,True,18,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/data-smoke.yml
prefix-dev/setup-pixi,False,21,sha,Action is pinned to a full commit SHA.,pass,a09b6247153796b190642a2b53fac4241043cf6f,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,.github/workflows/data-smoke.yml
actions/checkout,True,23,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/github-security-settings.yml
astral-sh/setup-uv,False,26,sha,Action is pinned to a full commit SHA.,pass,11f9893b081a58869d3b5fccaea48c9e9e46f990,astral-sh/setup-uv@11f9893b081a58869d3b5fccaea48c9e9e46f990,.github/workflows/github-security-settings.yml
actions/upload-artifact,True,32,sha,Action is pinned to a full commit SHA.,pass,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,.github/workflows/github-security-settings.yml
actions/checkout,True,31,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/harness-assurance.yml
prefix-dev/setup-pixi,False,34,sha,Action is pinned to a full commit SHA.,pass,a09b6247153796b190642a2b53fac4241043cf6f,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,.github/workflows/harness-assurance.yml
actions/checkout,True,44,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/harness-assurance.yml
prefix-dev/setup-pixi,False,47,sha,Action is pinned to a full commit SHA.,pass,a09b6247153796b190642a2b53fac4241043cf6f,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,.github/workflows/harness-assurance.yml
actions/checkout,True,24,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/historical-source-inventory.yml
prefix-dev/setup-pixi,False,28,sha,Action is pinned to a full commit SHA.,pass,a09b6247153796b190642a2b53fac4241043cf6f,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,.github/workflows/historical-source-inventory.yml
actions/checkout,True,25,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/huggingface-destination.yml
actions/upload-artifact,True,35,sha,Action is pinned to a full commit SHA.,pass,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,.github/workflows/huggingface-destination.yml
actions/checkout,True,26,sha,Action is pinned to a full commit SHA.,pass,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,.github/workflows/huggingface.yml
