archive_page,byte_size,cache_path,checksum_sha256,citation_key,detail,file_kind,file_name,id,licence_gate,review_status,source_id,source_url,source_version_id,status,transformation_process
https://www.england.nhs.uk/publication/national-genomic-test-directories/,47960,data/raw_live/historical_sources/family_archive/uk_genomic_test_directory_cancer_central_nervous_system_cns_national_genomic_test_directory_v2_xlsx_b55c1f6ed8.xlsx,fed65e24d49125aa95f5118bcbe180e9be357d555b6aa3bc9707b41aabc7ae75,reimbursement_atlas:uk_genomic_test_directory_cancer_central_nervous_system_cns_national_genomic_test_directory_v2_xlsx_b55c1f6ed8,Retrieved into ignored local cache.,xlsx,cancer-central-nervous-system-cns-national-genomic-test-directory-v2.xlsx,uk_genomic_test_directory_cancer_central_nervous_system_cns_national_genomic_test_directory_v2_xlsx_b55c1f6ed8,public_reuse_review,pending_human_review,uk_genomic_test_directory,https://www.england.nhs.uk/wp-content/uploads/2018/08/cancer-central-nervous-system-cns-national-genomic-test-directory-v2.xlsx,uk_genomic_test_directory_cancer_central_nervous_system_cns_national_genomic_test_directory_v2_xlsx_b55c1f6ed8,downloaded,data/derived/processes/historical_source_transformation.bpmn
https://www.england.nhs.uk/publication/national-genomic-test-directories/,535111,data/raw_live/historical_sources/family_archive/uk_genomic_test_directory_cancer_non_central_nervous_system_national_genomic_test_directory_version_16_xlsx_a7d18e6e6d.xlsx,f6dfce8fa934a5c3aa7e54999e5794b7fbab825b39c0130141bb451c22a20b41,reimbursement_atlas:uk_genomic_test_directory_cancer_non_central_nervous_system_national_genomic_test_directory_version_16_xlsx_a7d18e6e6d,Retrieved into ignored local cache.,xlsx,cancer-non-central-nervous-system-national-genomic-test-directory-version-16.xlsx,uk_genomic_test_directory_cancer_non_central_nervous_system_national_genomic_test_directory_version_16_xlsx_a7d18e6e6d,public_reuse_review,pending_human_review,uk_genomic_test_directory,https://www.england.nhs.uk/wp-content/uploads/2018/08/cancer-non-central-nervous-system-national-genomic-test-directory-version-16.xlsx,uk_genomic_test_directory_cancer_non_central_nervous_system_national_genomic_test_directory_version_16_xlsx_a7d18e6e6d,downloaded,data/derived/processes/historical_source_transformation.bpmn
https://www.england.nhs.uk/publication/national-genomic-test-directories/,556602,data/raw_live/historical_sources/family_archive/uk_genomic_test_directory_haematological_oncology_eligibility_criteria_version_1_1_pdf_5e96eb2ee1.pdf,35cf2a1b7afff9ebcceac76cbfc61bc2828efc14657ea2292eaef935e7bdfcd0,reimbursement_atlas:uk_genomic_test_directory_haematological_oncology_eligibility_criteria_version_1_1_pdf_5e96eb2ee1,Retrieved into ignored local cache.,pdf,haematological-oncology-eligibility-criteria-version-1.1.pdf,uk_genomic_test_directory_haematological_oncology_eligibility_criteria_version_1_1_pdf_5e96eb2ee1,public_reuse_review,pending_human_review,uk_genomic_test_directory,https://www.england.nhs.uk/wp-content/uploads/2018/08/haematological-oncology-eligibility-criteria-version-1.1.pdf,uk_genomic_test_directory_haematological_oncology_eligibility_criteria_version_1_1_pdf_5e96eb2ee1,downloaded,data/derived/processes/historical_source_transformation.bpmn
https://www.england.nhs.uk/publication/national-genomic-test-directories/,65517,data/raw_live/historical_sources/family_archive/uk_genomic_test_directory_haematological_oncology_national_genomic_test_directory_version_1_1_xlsx_4934bf4e67.xlsx,63eaaf5bc645c835db7f2956491eff9f0b8b52e549de5b87a48d846a0b12f531,reimbursement_atlas:uk_genomic_test_directory_haematological_oncology_national_genomic_test_directory_version_1_1_xlsx_4934bf4e67,Retrieved into ignored local cache.,xlsx,haematological-oncology-national-genomic-test-directory-version-1.1.xlsx,uk_genomic_test_directory_haematological_oncology_national_genomic_test_directory_version_1_1_xlsx_4934bf4e67,public_reuse_review,pending_human_review,uk_genomic_test_directory,https://www.england.nhs.uk/wp-content/uploads/2018/08/haematological-oncology-national-genomic-test-directory-version-1.1.xlsx,uk_genomic_test_directory_haematological_oncology_national_genomic_test_directory_version_1_1_xlsx_4934bf4e67,downloaded,data/derived/processes/historical_source_transformation.bpmn
https://www.england.nhs.uk/publication/national-genomic-test-directories/,3728278,data/raw_live/historical_sources/family_archive/uk_genomic_test_directory_rare_and_inherited_disease_eligibility_criteria_v9_1_pdf_5198547818.pdf,70bd5769d640027cba571ca109a347885001e7b3c0657bb993bdb1e0b350fac1,reimbursement_atlas:uk_genomic_test_directory_rare_and_inherited_disease_eligibility_criteria_v9_1_pdf_5198547818,Retrieved into ignored local cache.,pdf,rare-and-inherited-disease-eligibility-criteria-v9.1.pdf,uk_genomic_test_directory_rare_and_inherited_disease_eligibility_criteria_v9_1_pdf_5198547818,public_reuse_review,pending_human_review,uk_genomic_test_directory,https://www.england.nhs.uk/wp-content/uploads/2018/08/rare-and-inherited-disease-eligibility-criteria-v9.1.pdf,uk_genomic_test_directory_rare_and_inherited_disease_eligibility_criteria_v9_1_pdf_5198547818,downloaded,data/derived/processes/historical_source_transformation.bpmn
https://www.england.nhs.uk/publication/national-genomic-test-directories/,209344,data/raw_live/historical_sources/family_archive/uk_genomic_test_directory_rare_and_inherited_disease_national_genomics_test_directory_v9_xlsx_991b5550e2.xlsx,2bd3a3e75e30d3e8c6b6623824cc8018f65b0e7fc0e24ced15d02beba9b43bf1,reimbursement_atlas:uk_genomic_test_directory_rare_and_inherited_disease_national_genomics_test_directory_v9_xlsx_991b5550e2,Retrieved into ignored local cache.,xlsx,rare-and-inherited-disease-national-genomics-test-directory-v9.xlsx,uk_genomic_test_directory_rare_and_inherited_disease_national_genomics_test_directory_v9_xlsx_991b5550e2,public_reuse_review,pending_human_review,uk_genomic_test_directory,https://www.england.nhs.uk/wp-content/uploads/2018/08/rare-and-inherited-disease-national-genomics-test-directory-v9.xlsx,uk_genomic_test_directory_rare_and_inherited_disease_national_genomics_test_directory_v9_xlsx_991b5550e2,downloaded,data/derived/processes/historical_source_transformation.bpmn
https://www.cms.gov/medicare/payment/part-b-drugs/asp-pricing-files,9448,data/raw_live/historical_sources/family_archive/us_cms_asp_25_final_file_zip_13dc513206.zip,b6d8f5b02826a85d4af814e62525eda2eb778bbe119ed8f00107ec2471dc2d3b,reimbursement_atlas:us_cms_asp_25_final_file_zip_13dc513206,Retrieved into ignored local cache.,zip,25-final-file.zip,us_cms_asp_25_final_file_zip_13dc513206,public_reuse_review,pending_human_review,us_cms_asp,https://www.cms.gov/files/zip/january-2025-noc-pricing-file-03/11/25-final-file.zip,us_cms_asp_25_final_file_zip_13dc513206,downloaded,data/derived/processes/historical_source_transformation.bpmn
https://www.cms.gov/medicare/payment/part-b-drugs/asp-pricing-files,8492,data/raw_live/historical_sources/family_archive/us_cms_asp_25_final_file_zip_1b964cc72e.zip,adf22a29b6cffa55426129bfa0241292c028fe5846bf5f1c825bfd17fd0a8a3c,reimbursement_atlas:us_cms_asp_25_final_file_zip_1b964cc72e,Retrieved into ignored local cache.,zip,25-final-file.zip,us_cms_asp_25_final_file_zip_1b964cc72e,public_reuse_review,pending_human_review,us_cms_asp,https://www.cms.gov/files/zip/july-2025-noc-pricing-file-06/23/25-final-file.zip,us_cms_asp_25_final_file_zip_1b964cc72e,downloaded,data/derived/processes/historical_source_transformation.bpmn
https://www.cms.gov/medicare/payment/part-b-drugs/asp-pricing-files,484381,data/raw_live/historical_sources/family_archive/us_cms_asp_25_final_file_zip_2b199c4179.zip,7c1fddc61ce8106142d8b6070d6b26b1048548bd74754df0c66545374760be98,reimbursement_atlas:us_cms_asp_25_final_file_zip_2b199c4179,Retrieved into ignored local cache.,zip,25-final-file.zip,us_cms_asp_25_final_file_zip_2b199c4179,public_reuse_review,pending_human_review,us_cms_asp,https://www.cms.gov/files/zip/july-2025-asp-ndc-hcpcs-crosswalk-06/30/25-final-file.zip,us_cms_asp_25_final_file_zip_2b199c4179,downloaded,data/derived/processes/historical_source_transformation.bpmn
https://www.cms.gov/medicare/payment/part-b-drugs/asp-pricing-files,440672,data/raw_live/historical_sources/family_archive/us_cms_asp_25_final_file_zip_2d4a006f24.zip,db69f23987132fa4e9f79a41a8a579400d714ff1863a47b7bf00084c9cca9003,reimbursement_atlas:us_cms_asp_25_final_file_zip_2d4a006f24,Retrieved into ignored local cache.,zip,25-final-file.zip,us_cms_asp_25_final_file_zip_2d4a006f24,public_reuse_review,pending_human_review,us_cms_asp,https://www.cms.gov/files/zip/january-2025-asp-ndc-hcpcps-crosswalks-06/11/25-final-file.zip,us_cms_asp_25_final_file_zip_2d4a006f24,downloaded,data/derived/processes/historical_source_transformation.bpmn
