id,file_url,archive_page,archive_period,file_kind,licence_gate,download_policy,review_status,reviewer,reviewed_at,decision_evidence,permitted_derived_fields,review_notes
au_mbs_historical_0001,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990fca25692100069854/0b61e1e80b332754ca258c9e0000c7d8/$FILE/Health%20Insurance%20Regulations%202018%20-%20Basic%20Service%20Description%20for%20Assignment%20of%20Medicare%20Benefits.002.002.CSV/Health%20Insurance%20Regulations%202018%20-%20Basic%20Service%20Description%20for%20Assignment%20of%20Medicare%20Benefits.CSV,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/Downloads-250701,2018,csv,public_reuse_review,manual_review_only,pending_human_review,,,,,No acquisition or publication decision has been recorded.
au_mbs_historical_0002,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990fca25692100069854/0b61e1e80b332754ca258c9e0000c7d8/$FILE/MBS%20Book%201%20July%202025.PDF,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/Downloads-250701,2025,pdf,public_reuse_review,manual_review_only,pending_human_review,,,,,No acquisition or publication decision has been recorded.
au_mbs_historical_0003,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990fca25692100069854/0b61e1e80b332754ca258c9e0000c7d8/$FILE/RVG%20file%2020250701.TXT,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/Downloads-250701,2025,txt,public_reuse_review,manual_review_only,pending_human_review,,,,,No acquisition or publication decision has been recorded.
au_mbs_historical_0004,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990fca25692100069854/1bc94358d4f276d3ca257ccf0000aa73/$FILE/20260701_MBSONLINE_DESC.TXT,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads,2026,txt,public_reuse_review,manual_review_only,pending_human_review,,,,,No acquisition or publication decision has been recorded.
au_mbs_historical_0005,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990fca25692100069854/1bc94358d4f276d3ca257ccf0000aa73/$FILE/20260701_MBSONLINE_IMAP.TXT,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads,2026,txt,public_reuse_review,manual_review_only,pending_human_review,,,,,No acquisition or publication decision has been recorded.
au_mbs_historical_0006,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990fca25692100069854/928fae91a23256aaca258d0d0007eede/$FILE/Health%20Insurance%20Regulations%202018%20-%20Basic%20Service%20Description%20for%20Assignment%20of%20Medicare%20Benefits.CSV,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/Downloads-251101,2018,csv,public_reuse_review,manual_review_only,pending_human_review,,,,,No acquisition or publication decision has been recorded.
au_mbs_historical_0007,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990fca25692100069854/928fae91a23256aaca258d0d0007eede/$FILE/MBS%20Book%201%20November%202025.pdf,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/Downloads-251101,2025,pdf,public_reuse_review,manual_review_only,pending_human_review,,,,,No acquisition or publication decision has been recorded.
au_mbs_historical_0008,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990fca25692100069854/d4bd04ca56657072ca258df70023b066/$FILE/54354662.csv/Health%20Insurance%20Regulations%202018%20-%20Basic%20Service%20Description%20for%20Assignment%20of%20Medicare%20Benefits.csv,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/Downloads-20260701,2018,csv,public_reuse_review,manual_review_only,pending_human_review,,,,,No acquisition or publication decision has been recorded.
au_mbs_historical_0009,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990fca25692100069854/d4bd04ca56657072ca258df70023b066/$FILE/RVG%20file%2020260701.TXT,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/Downloads-20260701,2026,txt,public_reuse_review,manual_review_only,pending_human_review,,,,,No acquisition or publication decision has been recorded.
au_mbs_historical_0010,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990fca25692100069854/dd6984c45a944962ca258d8600139d55/$FILE/Health%20Insurance%20Regulations%202018%20-%20Basic%20Service%20Description%20for%20Assignment%20of%20Medicare%20Benefits.csv,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/Downloads-20260301,2018,csv,public_reuse_review,manual_review_only,pending_human_review,,,,,No acquisition or publication decision has been recorded.
