byte_size,checksum_sha256,contains_raw_source_payload,decision_evidence,licence_gate,publication_scope,relative_path,restrictions,review_id,review_status,reviewed_at,reviewer
6,45fd2f9df187bc411dc80df5c4c4844ac00f4dd69bc69453f1893a5d143433d6,False,,public_reuse_review,public_derived_candidate,data/derived/architecture/import_cycles.csv,,licence_review_0d1d1517a8a58a1c,pending,,
0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,,public_reuse_review,public_derived_candidate,data/derived/architecture/import_cycles.jsonl,,licence_review_d20acd8327b4fd5b,pending,,
29674,c9cab86149c54fe4d9466d4cc2643f5d39fefec852b1e83391f9b3c032ae34cb,False,,public_reuse_review,public_derived_candidate,data/derived/architecture/import_edges.csv,,licence_review_6e1b535f3b3b7a9b,pending,,
56312,69e2a4ab76319525837cf9ec5b52576ae02629b4d03243db6a531bc59df8555b,False,,public_reuse_review,public_derived_candidate,data/derived/architecture/import_edges.jsonl,,licence_review_38c5bcd142fb0e88,pending,,
2581,9bd66bfecce289cdd76d6a5a18aaaee06ec81446502717a1b6e955354b9b273b,False,,public_reuse_review,public_derived_candidate,data/derived/architecture/layer_policy.csv,,licence_review_4ab79170518c3f3b,pending,,
5058,96d500ddc8ad9e9d676972e6f13b0012bea7586af32a555543323e491aaef706,False,,public_reuse_review,public_derived_candidate,data/derived/architecture/layer_policy.jsonl,,licence_review_743f8f76df59c0d1,pending,,
69825,8b329a37e5fa9cbc115575af00489eb766a33d576cdb973a63faf222b10e36c1,False,,public_reuse_review,public_derived_candidate,data/derived/data_dictionary/data_dictionary.csv,,licence_review_caa349598c6fad6a,pending,,
92624,2545645ba1fb72c64e0800b221d53ede07de2865845241e6989304f7ce0d2476,False,,public_reuse_review,public_derived_candidate,data/derived/data_dictionary/data_dictionary.jsonl,,licence_review_f7b01042291532e2,pending,,
122,6084a508278693aba24f1960b43a5f5f45eec8281daa13ebafd56182c2c54125,False,,public_reuse_review,public_derived_candidate,data/derived/data_dictionary/summary.json,,licence_review_469359631e5a534e,pending,,
8710,6631f2c9adb9f6ba2a4419d1dc66fdd723717ba1aca026b42a7728ae7c3bba04,False,,public_reuse_review,public_derived_candidate,data/derived/data_quality/data_quality_checks.csv,,licence_review_cc9087bd3de7307f,pending,,
15125,eaf288623017ae6d8d445a90491c5b2984e620d3781d930121c70a159a08caea,False,,public_reuse_review,public_derived_candidate,data/derived/data_quality/data_quality_checks.jsonl,,licence_review_8f2eddaed2e30bc3,pending,,
106,895719b62c45a6fb64f8f3e786a469f0e16122cb7c7e520854a7ba548af12a83,False,,public_reuse_review,public_derived_candidate,data/derived/data_quality/summary.json,,licence_review_557cda884c61fd08,pending,,
1393,01a23bba7b93f265277910a350e2a7880be4f6eee8095a0fcf3e2fde5a6f51b7,False,,public_reuse_review,public_derived_candidate,data/derived/evidence_readiness/evidence_readiness.csv,,licence_review_87e78172210f7d95,pending,,
2972,2e946e4342ea39c68a04a1136dd20ca6b618ca1c2297a27f6ac35bfa07adca2d,False,,public_reuse_review,public_derived_candidate,data/derived/evidence_readiness/evidence_readiness.jsonl,,licence_review_99f8fb6295aacbd1,pending,,
150,5db1987ab9106a3cd08b19dd120a506637d5d9921fb79505f67b49115b52dc50,False,,public_reuse_review,public_derived_candidate,data/derived/evidence_readiness/summary.json,,licence_review_7e4c22db096f19c5,pending,,
2895,f84b92ad53119d6acbd6e2c096ffd083ab3ccb86d1e59ebe932faa8b7e6b2a56,False,,public_reuse_review,public_derived_candidate,data/derived/external_quality_gates.csv,,licence_review_96a1a777e30b710e,pending,,
4095,f071af6b8dcd130dec6624e1b38bd1b586cad9e64395fea6cdfc619334fb5d85,False,,public_reuse_review,public_derived_candidate,data/derived/external_quality_gates.json,,licence_review_f60d8afdee911a99,pending,,
6401,5e1e69e95c35a1105194374dd44f8dda86b19ba3812def4e0fc716b3bd0b1ffc,False,,public_reuse_review,public_derived_candidate,data/derived/final_handoff/final_handoff_tasks.csv,,licence_review_5ab681bddd7b0fb4,pending,,
8212,2663a82408f267f9bd3bbccc3aced7333c4da1f0eb144db3b4f265a728cdb473,False,,public_reuse_review,public_derived_candidate,data/derived/final_handoff/final_handoff_tasks.jsonl,,licence_review_702130e901efe858,pending,,
89250,2805636da4ce0bb8177db2d876d90bf98fd9c2ea18f8e17d78bece225d02da1a,False,,public_reuse_review,public_derived_candidate,data/derived/github_project/github_project_items.csv,,licence_review_6bbb168b51317fb0,pending,,
121679,c273b8013bf67feb9ddd7040dc4a40fc32b2401321a1667e9bc92aa801c3ef7a,False,,public_reuse_review,public_derived_candidate,data/derived/github_project/github_project_items.jsonl,,licence_review_a9d6e64b4a2fd3c3,pending,,
165598,bff10223f6cbc023ae729d57a00d3655962a6cfeafc781fe26ff800b56aaa79e,False,,public_reuse_review,public_derived_candidate,data/derived/historical_sources/historical_mbs_archive_targets.csv,,licence_review_b5bbe2264142b9aa,pending,,
241941,112e0ce44ad846ed7e70e8e6ba59b8ad3eee77c7f929e86b3a6a0fae8b13ca08,False,,public_reuse_review,public_derived_candidate,data/derived/historical_sources/historical_mbs_archive_targets.jsonl,,licence_review_94bc0f52e1714e8d,pending,,
758,33138a20d7b9ecf924365c5318357ae8f181ce8c159ff592c34e15098a1eba14,False,,public_reuse_review,public_derived_candidate,data/derived/historical_sources/summary.json,,licence_review_5a14a4840d986df5,pending,,
4136,053c7fedada5748760df88266eae727ef9357dd4fafe56f76b7268fbd241f22f,False,,public_reuse_review,public_derived_candidate,data/derived/local_quality_gates/local_quality_gate_specs.csv,,licence_review_79e40c0f143460b6,pending,,
7340,f1e985d1cacbacce24d30d26e88d7b287f89e2bf453b3ff345532abdaafff72e,False,,public_reuse_review,public_derived_candidate,data/derived/local_quality_gates/local_quality_gate_specs.jsonl,,licence_review_0f516a9099b0e4b6,pending,,
13069,38968c5151fcbc1d2ef6cd67279b96ecf051d206a6173659998c4738b517c420,False,,public_reuse_review,public_derived_candidate,data/derived/local_quality_gates/local_quality_gates.csv,,licence_review_b10c0ffdabd05f2c,pending,,
17968,a01c0f38ad3f4938f44497e7637b8f09c30b1ca3522f5cc9e7a1a4b39024ed34,False,,public_reuse_review,public_derived_candidate,data/derived/local_quality_gates/local_quality_gates.jsonl,,licence_review_33431a70a2e4964b,pending,,
