case_id,duplicate_group,evidence_fields,family,left_code,left_source_id,proposed_difficulty,proposed_label_hypothesis,provenance_checksums,right_code,right_source_id,schema_version,source_versions
map_000d6808964fd6fcbd9e,215d6a3c59e3e33e,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",genomics_coverage,13012,au_mbs,hard,negative_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""62b5797ed86396877650fb69963685ce4c3218a15f87de1ce1d524819373c8df""]",HP:0033733,hpo,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""hpo_current_20260723""]"
map_001bb709487ff1ff2ac7,951c2f7ea9e2ae55,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",genomics_coverage,56107,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""62b5797ed86396877650fb69963685ce4c3218a15f87de1ce1d524819373c8df""]",HP:0030604,hpo,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""hpo_current_20260723""]"
map_002b58e63b712fa7f17e,7341893cecaea1df,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",genomics_coverage,45477,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""62b5797ed86396877650fb69963685ce4c3218a15f87de1ce1d524819373c8df""]",HP:6000223,hpo,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""hpo_current_20260723""]"
map_003da70c03da9e153622,f9132fab3601f335,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,31503,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""28169b6db59010f1801432f6bb259b652c05cc4cd1fe5ab1a9766cc025bf6dab""]",46505,us_cms_pfs,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_cms_pfs_2026_revision_c_carrier""]"
map_0086d349cb6c7140449b,eecc4b51c7acae0f,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",devices_other,45918,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""463392fd741b7d6a9516b6c4cfe1dabd407a8f759b666d598ee9d4106568fa00""]",OHA,us_fda_device_classification,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_fda_device_classification_20260723_page1""]"
map_008d409a4bc00d4d0d7f,0dae8567fdbc7218,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",devices_other,352M,au_pbs,hard,negative_candidate,"[""0c613d97430e441e8eefcca09332800ccac68f177d144e6fb4b11a1c94d83b3a"", ""463392fd741b7d6a9516b6c4cfe1dabd407a8f759b666d598ee9d4106568fa00""]",DPP,us_fda_device_classification,mapping-candidate-frame-v1,"[""au_pbs_api_v3_current_month"", ""us_fda_device_classification_20260723_page1""]"
map_009e9306d74da55090f7,05679212e438d576,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",genomics_coverage,69289,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""62b5797ed86396877650fb69963685ce4c3218a15f87de1ce1d524819373c8df""]",HP:0032208,hpo,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""hpo_current_20260723""]"
map_00cabb0762afb2bd51b2,ac2a8b67fbe62912,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,00768,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""28169b6db59010f1801432f6bb259b652c05cc4cd1fe5ab1a9766cc025bf6dab""]",46505,us_cms_pfs,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_cms_pfs_2026_revision_c_carrier""]"
map_00d8b87392ff3b5f0762,41d2c6196fe57706,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",genomics_coverage,37053,au_mbs,hard,negative_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""62b5797ed86396877650fb69963685ce4c3218a15f87de1ce1d524819373c8df""]",HP:0012435,hpo,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""hpo_current_20260723""]"
map_00e784c76c46965b0a34,0e6709716ebab9b0,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,73400,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""28169b6db59010f1801432f6bb259b652c05cc4cd1fe5ab1a9766cc025bf6dab""]",46505,us_cms_pfs,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_cms_pfs_2026_revision_c_carrier""]"
map_00ea83e31b3f26a00d83,5416a24ec5cd9ea3,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",medicines,12340L,au_pbs,ambiguous,negative_candidate,"[""0c613d97430e441e8eefcca09332800ccac68f177d144e6fb4b11a1c94d83b3a"", ""29a827543e367d37f1a75ccc86b3b7e971a14b5fecf50ae9622807703ca01bf3""]",29170,rxnorm,mapping-candidate-frame-v1,"[""au_pbs_api_v3_current_month"", ""rxnorm_cpc_20260706""]"
map_0107d77edce8787cc2e2,8acba43a9a12481c,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",medicines,8318T,au_pbs,ambiguous,positive_candidate,"[""0c613d97430e441e8eefcca09332800ccac68f177d144e6fb4b11a1c94d83b3a"", ""29a827543e367d37f1a75ccc86b3b7e971a14b5fecf50ae9622807703ca01bf3""]",105823,rxnorm,mapping-candidate-frame-v1,"[""au_pbs_api_v3_current_month"", ""rxnorm_cpc_20260706""]"
map_01402044c6d5e57a8fab,6dff03ab0e9d1698,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",devices_other,14509P,au_pbs,hard,negative_candidate,"[""0c613d97430e441e8eefcca09332800ccac68f177d144e6fb4b11a1c94d83b3a"", ""463392fd741b7d6a9516b6c4cfe1dabd407a8f759b666d598ee9d4106568fa00""]",FXP,us_fda_device_classification,mapping-candidate-frame-v1,"[""au_pbs_api_v3_current_month"", ""us_fda_device_classification_20260723_page1""]"
map_014cc7ce5458bb8155c0,99d21302b0ecd17c,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",genomics_coverage,30649,au_mbs,ambiguous,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""62b5797ed86396877650fb69963685ce4c3218a15f87de1ce1d524819373c8df""]",HP:0030137,hpo,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""hpo_current_20260723""]"
map_01594476fef88f024599,d5e74863cba80a87,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,01303,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""28169b6db59010f1801432f6bb259b652c05cc4cd1fe5ab1a9766cc025bf6dab""]",46505,us_cms_pfs,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_cms_pfs_2026_revision_c_carrier""]"
map_0161eb7d2ed4fdd8f990,b6ff1bd006af2008,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",devices_other,21420,au_mbs,hard,negative_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""463392fd741b7d6a9516b6c4cfe1dabd407a8f759b666d598ee9d4106568fa00""]",GKK,us_fda_device_classification,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_fda_device_classification_20260723_page1""]"
map_0167329f355f8b6c6d22,cc1cab61aab30e04,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",medicines,5289J,au_pbs,ambiguous,positive_candidate,"[""0c613d97430e441e8eefcca09332800ccac68f177d144e6fb4b11a1c94d83b3a"", ""29a827543e367d37f1a75ccc86b3b7e971a14b5fecf50ae9622807703ca01bf3""]",848135,rxnorm,mapping-candidate-frame-v1,"[""au_pbs_api_v3_current_month"", ""rxnorm_cpc_20260706""]"
map_01994d16f9a934df6170,7b1d839e1e1b0141,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,69354,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""28169b6db59010f1801432f6bb259b652c05cc4cd1fe5ab1a9766cc025bf6dab""]",46505,us_cms_pfs,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_cms_pfs_2026_revision_c_carrier""]"
map_01aa44727b4c9cb1e3b8,34df7590d51958e5,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,52603,au_mbs,hard,negative_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""28169b6db59010f1801432f6bb259b652c05cc4cd1fe5ab1a9766cc025bf6dab""]",72141,us_cms_pfs,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_cms_pfs_2026_revision_c_carrier""]"
map_022f652ef7f730d5d767,b298d6a570ffc383,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",devices_other,51042,au_mbs,hard,negative_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""463392fd741b7d6a9516b6c4cfe1dabd407a8f759b666d598ee9d4106568fa00""]",OXL,us_fda_device_classification,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_fda_device_classification_20260723_page1""]"
map_0235e60e3ec668843b96,f4eda37b3b5365fc,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,56100,au_mbs,hard,negative_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""28169b6db59010f1801432f6bb259b652c05cc4cd1fe5ab1a9766cc025bf6dab""]",72141,us_cms_pfs,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_cms_pfs_2026_revision_c_carrier""]"
map_027c6922f1180687c4a9,0c32b9ca2a0a1ec3,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",medicines,12775J,au_pbs,ambiguous,positive_candidate,"[""0c613d97430e441e8eefcca09332800ccac68f177d144e6fb4b11a1c94d83b3a"", ""29a827543e367d37f1a75ccc86b3b7e971a14b5fecf50ae9622807703ca01bf3""]",1657974,rxnorm,mapping-candidate-frame-v1,"[""au_pbs_api_v3_current_month"", ""rxnorm_cpc_20260706""]"
map_027e07e5816ab05dc077,feae75fc9734c978,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,93703,au_mbs,hard,negative_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""28169b6db59010f1801432f6bb259b652c05cc4cd1fe5ab1a9766cc025bf6dab""]",72147,us_cms_pfs,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_cms_pfs_2026_revision_c_carrier""]"
map_0298e95b350c290f0947,485fa465a2286fe8,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,91166,au_mbs,hard,negative_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""28169b6db59010f1801432f6bb259b652c05cc4cd1fe5ab1a9766cc025bf6dab""]",70551,us_cms_pfs,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_cms_pfs_2026_revision_c_carrier""]"
map_029ab8640a0d541be5dd,9c5859064edc2afe,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",genomics_coverage,45477,au_mbs,hard,negative_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""62b5797ed86396877650fb69963685ce4c3218a15f87de1ce1d524819373c8df""]",HP:6001431,hpo,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""hpo_current_20260723""]"
