case_id,duplicate_group,evidence_fields,family,left_code,left_source_id,proposed_difficulty,proposed_label_hypothesis,provenance_checksums,right_code,right_source_id,schema_version,source_versions
map_0007b0fc48eb3f816b4c,4b82fe0013b9482d,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,08620,au_mbs,hard,negative_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""d1dc10fd298e1125641bfd774e7adfa6f6895e903a5074c7af3826c8643e7794""]",G9284,us_cms_hcpcs_level_ii,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_cms_hcpcs_level_ii_2026_07""]"
map_000d6808964fd6fcbd9e,215d6a3c59e3e33e,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",genomics_coverage,13012,au_mbs,hard,negative_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""62b5797ed86396877650fb69963685ce4c3218a15f87de1ce1d524819373c8df""]",HP:0033733,hpo,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""hpo_current_20260723""]"
map_000f03eaee301ea86c03,7421da45e797d2c1,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,07128,au_mbs,hard,negative_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""d1dc10fd298e1125641bfd774e7adfa6f6895e903a5074c7af3826c8643e7794""]",K0744,us_cms_hcpcs_level_ii,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_cms_hcpcs_level_ii_2026_07""]"
map_001bb709487ff1ff2ac7,951c2f7ea9e2ae55,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",genomics_coverage,56107,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""62b5797ed86396877650fb69963685ce4c3218a15f87de1ce1d524819373c8df""]",HP:0030604,hpo,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""hpo_current_20260723""]"
map_002b58e63b712fa7f17e,7341893cecaea1df,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",genomics_coverage,45477,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""62b5797ed86396877650fb69963685ce4c3218a15f87de1ce1d524819373c8df""]",HP:6000223,hpo,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""hpo_current_20260723""]"
map_0086d349cb6c7140449b,eecc4b51c7acae0f,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",devices_other,45918,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""463392fd741b7d6a9516b6c4cfe1dabd407a8f759b666d598ee9d4106568fa00""]",OHA,us_fda_device_classification,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_fda_device_classification_20260723_page1""]"
map_008d409a4bc00d4d0d7f,0dae8567fdbc7218,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",devices_other,352M,au_pbs,hard,negative_candidate,"[""0c613d97430e441e8eefcca09332800ccac68f177d144e6fb4b11a1c94d83b3a"", ""463392fd741b7d6a9516b6c4cfe1dabd407a8f759b666d598ee9d4106568fa00""]",DPP,us_fda_device_classification,mapping-candidate-frame-v1,"[""au_pbs_api_v3_current_month"", ""us_fda_device_classification_20260723_page1""]"
map_009e9306d74da55090f7,05679212e438d576,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",genomics_coverage,69289,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""62b5797ed86396877650fb69963685ce4c3218a15f87de1ce1d524819373c8df""]",HP:0032208,hpo,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""hpo_current_20260723""]"
map_00c2b6b459abc65470b3,aa9e09547e5e5a30,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,38837,au_mbs,ambiguous,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""d1dc10fd298e1125641bfd774e7adfa6f6895e903a5074c7af3826c8643e7794""]",G0545,us_cms_hcpcs_level_ii,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_cms_hcpcs_level_ii_2026_07""]"
map_00cd1f98480803a56505,927386f24b5a0b23,"[""item_code"", ""item_label"", ""item_description"", ""domain""]",procedures_pathology,69207,au_mbs,hard,positive_candidate,"[""d9fcfd875dfb97ae4550f53f823b9001e6f885d2f0b84c47705d29de91b8567c"", ""d1dc10fd298e1125641bfd774e7adfa6f6895e903a5074c7af3826c8643e7794""]",G0238,us_cms_hcpcs_level_ii,mapping-candidate-frame-v1,"[""au_mbs_20260701_txt_pair"", ""us_cms_hcpcs_level_ii_2026_07""]"
