acquisition_id,byte_size,evidence_id,evidence_kind,fixity_verified_at,immutable_locator,notes,payload_sha256,rights_state,source_id,source_locator,source_version_id
sha256:0076c9c29ce377efc550e0c5346a2abe2cf1d2d834c6f5628eed226749bbf92c,469742,evidence:sha256:0076c9c29ce377efc550e0c5346a2abe2cf1d2d834c6f5628eed226749bbf92c,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:0076c9c29ce377efc550e0c5346a2abe2cf1d2d834c6f5628eed226749bbf92c,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,0076c9c29ce377efc550e0c5346a2abe2cf1d2d834c6f5628eed226749bbf92c,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/94D54B959677561ECA2585FF000015E3/$File/201312-Allied.pdf,au_mbs_historical_0246
sha256:01809c64f8f18462a87a96bef295196499f869ac3876c6fe58d43a9c3bedb175,5265397,evidence:sha256:01809c64f8f18462a87a96bef295196499f869ac3876c6fe58d43a9c3bedb175,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:01809c64f8f18462a87a96bef295196499f869ac3876c6fe58d43a9c3bedb175,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,01809c64f8f18462a87a96bef295196499f869ac3876c6fe58d43a9c3bedb175,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/94D54B959677561ECA2585FF000015E3/$File/201305-MBS.pdf,au_mbs_historical_0235
sha256:01ad3ee276d2636280e50239db091f18696661c3d25db52078f3cf8e350f1e40,901703,evidence:sha256:01ad3ee276d2636280e50239db091f18696661c3d25db52078f3cf8e350f1e40,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:01ad3ee276d2636280e50239db091f18696661c3d25db52078f3cf8e350f1e40,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,01ad3ee276d2636280e50239db091f18696661c3d25db52078f3cf8e350f1e40,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/70CAF134CEE45219CA258614007874F8/$File/201601-Optom.pdf,au_mbs_historical_0189
sha256:01dda9146d51d1e465b86696535331cab76f3529662c1bfd000e8339f7090464,275532,evidence:sha256:01dda9146d51d1e465b86696535331cab76f3529662c1bfd000e8339f7090464,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:01dda9146d51d1e465b86696535331cab76f3529662c1bfd000e8339f7090464,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,01dda9146d51d1e465b86696535331cab76f3529662c1bfd000e8339f7090464,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/E137A6BDE8494881CA2585FF000A72FF/$File/201201-Allied.pdf,au_mbs_historical_0295
sha256:028ace21535a617f6ea6a576991687274f75bdc937efce73bbb1094d9d170b05,355933,evidence:sha256:028ace21535a617f6ea6a576991687274f75bdc937efce73bbb1094d9d170b05,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:028ace21535a617f6ea6a576991687274f75bdc937efce73bbb1094d9d170b05,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,028ace21535a617f6ea6a576991687274f75bdc937efce73bbb1094d9d170b05,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/94D54B959677561ECA2585FF000015E3/$File/201303-Optom.pdf,au_mbs_historical_0233
sha256:056c8cb2a25849e5b95de97b7b2d0b797946a933e322388ae35ec8c44b4c8a99,3289372,evidence:sha256:056c8cb2a25849e5b95de97b7b2d0b797946a933e322388ae35ec8c44b4c8a99,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:056c8cb2a25849e5b95de97b7b2d0b797946a933e322388ae35ec8c44b4c8a99,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,056c8cb2a25849e5b95de97b7b2d0b797946a933e322388ae35ec8c44b4c8a99,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/515793D58E889BD0CA257CD100033990/$File/2004-11-MBS.pdf,au_mbs_historical_0133
sha256:05c59665124fd5145ebd0702d8ac8f1baaa4efa02daaedc9ab899c87c5120095,801512,evidence:sha256:05c59665124fd5145ebd0702d8ac8f1baaa4efa02daaedc9ab899c87c5120095,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:05c59665124fd5145ebd0702d8ac8f1baaa4efa02daaedc9ab899c87c5120095,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,05c59665124fd5145ebd0702d8ac8f1baaa4efa02daaedc9ab899c87c5120095,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/A7F6A9DA0E280DCCCA2586140008B368/$File/201501-Optom.pdf,au_mbs_historical_0251
sha256:063186c99e597a60dc11b4aaf71d056eebaf2612061f637b1b52bab9e488a622,12986,evidence:sha256:063186c99e597a60dc11b4aaf71d056eebaf2612061f637b1b52bab9e488a622,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:063186c99e597a60dc11b4aaf71d056eebaf2612061f637b1b52bab9e488a622,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,063186c99e597a60dc11b4aaf71d056eebaf2612061f637b1b52bab9e488a622,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/FBE6CC5B217AC8DACA25859E0016F5A3/$File/rvg210701.txt,au_mbs_historical_0338
sha256:06c3361624709190f83391208842bbbcb8cf8b76796f79ec6d5633840aaf7f2d,1132894,evidence:sha256:06c3361624709190f83391208842bbbcb8cf8b76796f79ec6d5633840aaf7f2d,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:06c3361624709190f83391208842bbbcb8cf8b76796f79ec6d5633840aaf7f2d,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,06c3361624709190f83391208842bbbcb8cf8b76796f79ec6d5633840aaf7f2d,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/515793D58E889BD0CA257CD100033990/$File/1994-05-MBS.pdf,au_mbs_historical_0097
sha256:07197f96afb15262bf03ddff42ce1325400d29b2f4e341a3cf21e5fbd605ee48,355951,evidence:sha256:07197f96afb15262bf03ddff42ce1325400d29b2f4e341a3cf21e5fbd605ee48,rights_constrained_reference,2026-08-27T08:02:43.936236+00:00,sha256:07197f96afb15262bf03ddff42ce1325400d29b2f4e341a3cf21e5fbd605ee48,B2 historical checksum reference records current-run fixity; source bytes remain ignored and local.,07197f96afb15262bf03ddff42ce1325400d29b2f4e341a3cf21e5fbd605ee48,public_reuse_review,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/94D54B959677561ECA2585FF000015E3/$File/201305-Optom.pdf,au_mbs_historical_0236
