action,current_uses,line,notes,ref,resolved_sha,status,suggested_uses,workflow
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,17,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/ci.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,20,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/ci.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,59,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/ci.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,62,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/ci.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,84,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/ci.yml
actions/setup-python,actions/setup-python@ece7cb06caefa5fff74198d8649806c4678c61a1,87,Already pinned to a full SHA.,ece7cb06caefa5fff74198d8649806c4678c61a1,,skipped_sha,,.github/workflows/ci.yml
astral-sh/setup-uv,astral-sh/setup-uv@11f9893b081a58869d3b5fccaea48c9e9e46f990,90,Already pinned to a full SHA.,11f9893b081a58869d3b5fccaea48c9e9e46f990,,skipped_sha,,.github/workflows/ci.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,21,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/dashboard-browser.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,24,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/dashboard-browser.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,43,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/dashboard-browser.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,20,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/dashboard-preview.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,23,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/dashboard-preview.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,28,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/dashboard-preview.yml
