code_system,currency,domain,effective_from,effective_to,facility_component,item_code,item_description,item_label,jurisdiction,patient_amount,payment_amount,payment_unit,professional_component,provenance,restriction_text,setting,source_id
PBS,AUD,medicines,2026-07-01,,False,10001J,Tablet 550 mg,Rifaximin,Australia,,394.14,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10003L,Capsule 75 mg (as mesilate),Dabrafenib,Australia,,6995.2300000000005,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10004M,Capsule 12.5 mg,Sunitinib,Australia,,456.65000000000003,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10005N,Tablet containing olmesartan medoxomil 20 mg with amlodipine 5 mg (as besilate) and hydrochlorothiazide 12.5 mg,Olmesartan + amlodipine + hydrochlorothiazide,Australia,,5.57,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10007Q,"Pressurised inhalation containing fluticasone propionate 125 micrograms with formoterol fumarate dihydrate 5 micrograms per dose, 120 doses",fluticasone propionate + formoterol,Australia,,24.54,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10008R,"Pressurised inhalation containing fluticasone propionate 250 micrograms with formoterol fumarate dihydrate 10 micrograms per dose, 120 doses",fluticasone propionate + formoterol,Australia,,35.44,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10009T,Capsule 12.5 mg,Sunitinib,Australia,,456.65000000000003,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10010W,Capsule 50 mg,Sunitinib,Australia,,1860.81,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10011X,Tablet 10 mg (as propanediol monohydrate),Dapagliflozin,Australia,,36.42,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
PBS,AUD,medicines,2026-07-01,,False,10012Y,Tablet 5 mg (as hydrochloride),Ivabradine,Australia,,31.03,pack,False,"{""effective_date"": ""2026-07-01"", ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""au_pbs"", ""source_url"": ""https://data-api.health.gov.au/pbs/api/v3"", ""source_version"": ""au_pbs_api_v3_current_month"", ""transformation_notes"": ""Parsed from local PBS API/CSV-like extract: pbs_v3_items_4706.csv; published amount is not assumed to be net effective price.""}",N,pharmacy,au_pbs
