code_system,currency,domain,effective_from,effective_to,facility_component,item_code,item_description,item_label,jurisdiction,patient_amount,payment_amount,payment_unit,professional_component,provenance,restriction_text,setting,source_id
OHIP service code,CAD,medical_services,2026-04-01,,,A001,,OHIP service A001,"Ontario, Canada",,2.68,item,,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""ca_on_ohip"", ""source_url"": ""https://ontario.ca/files/2026-06/moh-ohip-fee-schedule-master-text-2026-06-02.zip"", ""source_version"": ""ca_on_ohip_master_text_2026_06_02"", ""transformation_notes"": ""Parsed fixed-width service code, effective dates, and first positive published fee; descriptors are not present in the master text file.""}",,,ca_on_ohip
OHIP service code,CAD,medical_services,2026-04-01,,,A002,,OHIP service A002,"Ontario, Canada",,7.39,item,,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""ca_on_ohip"", ""source_url"": ""https://ontario.ca/files/2026-06/moh-ohip-fee-schedule-master-text-2026-06-02.zip"", ""source_version"": ""ca_on_ohip_master_text_2026_06_02"", ""transformation_notes"": ""Parsed fixed-width service code, effective dates, and first positive published fee; descriptors are not present in the master text file.""}",,,ca_on_ohip
OHIP service code,CAD,medical_services,2026-04-01,,,A003,,OHIP service A003,"Ontario, Canada",,9.56,item,,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""ca_on_ohip"", ""source_url"": ""https://ontario.ca/files/2026-06/moh-ohip-fee-schedule-master-text-2026-06-02.zip"", ""source_version"": ""ca_on_ohip_master_text_2026_06_02"", ""transformation_notes"": ""Parsed fixed-width service code, effective dates, and first positive published fee; descriptors are not present in the master text file.""}",,,ca_on_ohip
OHIP service code,CAD,medical_services,2026-04-01,,,A004,,OHIP service A004,"Ontario, Canada",,3.93,item,,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""ca_on_ohip"", ""source_url"": ""https://ontario.ca/files/2026-06/moh-ohip-fee-schedule-master-text-2026-06-02.zip"", ""source_version"": ""ca_on_ohip_master_text_2026_06_02"", ""transformation_notes"": ""Parsed fixed-width service code, effective dates, and first positive published fee; descriptors are not present in the master text file.""}",,,ca_on_ohip
OHIP service code,CAD,medical_services,2026-04-01,,,A005,,OHIP service A005,"Ontario, Canada",,9.56,item,,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""ca_on_ohip"", ""source_url"": ""https://ontario.ca/files/2026-06/moh-ohip-fee-schedule-master-text-2026-06-02.zip"", ""source_version"": ""ca_on_ohip_master_text_2026_06_02"", ""transformation_notes"": ""Parsed fixed-width service code, effective dates, and first positive published fee; descriptors are not present in the master text file.""}",,,ca_on_ohip
OHIP service code,CAD,medical_services,2026-04-01,,,A006,,OHIP service A006,"Ontario, Canada",,4.71,item,,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""ca_on_ohip"", ""source_url"": ""https://ontario.ca/files/2026-06/moh-ohip-fee-schedule-master-text-2026-06-02.zip"", ""source_version"": ""ca_on_ohip_master_text_2026_06_02"", ""transformation_notes"": ""Parsed fixed-width service code, effective dates, and first positive published fee; descriptors are not present in the master text file.""}",,,ca_on_ohip
OHIP service code,CAD,medical_services,2026-04-01,,,A007,,OHIP service A007,"Ontario, Canada",,4.45,item,,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""ca_on_ohip"", ""source_url"": ""https://ontario.ca/files/2026-06/moh-ohip-fee-schedule-master-text-2026-06-02.zip"", ""source_version"": ""ca_on_ohip_master_text_2026_06_02"", ""transformation_notes"": ""Parsed fixed-width service code, effective dates, and first positive published fee; descriptors are not present in the master text file.""}",,,ca_on_ohip
OHIP service code,CAD,medical_services,2026-04-01,,,A008,,OHIP service A008,"Ontario, Canada",,1.34,item,,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""ca_on_ohip"", ""source_url"": ""https://ontario.ca/files/2026-06/moh-ohip-fee-schedule-master-text-2026-06-02.zip"", ""source_version"": ""ca_on_ohip_master_text_2026_06_02"", ""transformation_notes"": ""Parsed fixed-width service code, effective dates, and first positive published fee; descriptors are not present in the master text file.""}",,,ca_on_ohip
OHIP service code,CAD,medical_services,1998-02-01,,,A009,,OHIP service A009,"Ontario, Canada",,3.67,item,,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""ca_on_ohip"", ""source_url"": ""https://ontario.ca/files/2026-06/moh-ohip-fee-schedule-master-text-2026-06-02.zip"", ""source_version"": ""ca_on_ohip_master_text_2026_06_02"", ""transformation_notes"": ""Parsed fixed-width service code, effective dates, and first positive published fee; descriptors are not present in the master text file.""}",,,ca_on_ohip
OHIP service code,CAD,medical_services,2026-04-01,,,A010,,OHIP service A010,"Ontario, Canada",,9.56,item,,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""ca_on_ohip"", ""source_url"": ""https://ontario.ca/files/2026-06/moh-ohip-fee-schedule-master-text-2026-06-02.zip"", ""source_version"": ""ca_on_ohip_master_text_2026_06_02"", ""transformation_notes"": ""Parsed fixed-width service code, effective dates, and first positive published fee; descriptors are not present in the master text file.""}",,,ca_on_ohip
