code_system,currency,domain,effective_from,effective_to,facility_component,item_code,item_description,item_label,jurisdiction,patient_amount,payment_amount,payment_unit,professional_component,provenance,restriction_text,setting,source_id
NHS TMC,GBP,genomics,2026-04-01,,,TMC11_cancer_report_1,,WHOLE GENOME SEQUENCING (cancer report),England,,643.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC11_rare-disease_report_2,,WHOLE GENOME SEQUENCING - PROBAND (rare-disease report),England,,527.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC11_rare-disease_report_3,,WHOLE GENOME SEQUENCING - FAMILY MEMBER (rare-disease report),England,,64.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC12_test_5,,WHOLE EXOME SEQUENCING - PROBAND (test),England,,626.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC12_rare-disease_report_5,,WHOLE EXOME SEQUENCING - PROBAND (rare-disease report),England,,183.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC12_test_6,,WHOLE EXOME SEQUENCING - FAMILY MEMBER (test),England,,626.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC12_rare-disease_report_6,,WHOLE EXOME SEQUENCING - FAMILY MEMBER (rare-disease report),England,,60.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC21_test_8,,LARGE NEXT GENERATION SEQUENCING PANEL (MORE THAN 100 TARGETS/GENES) (test),England,,271.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC21_cancer_report_8,,LARGE NEXT GENERATION SEQUENCING PANEL (MORE THAN 100 TARGETS/GENES) (cancer report),England,,183.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC21_rare-disease_report_8,,LARGE NEXT GENERATION SEQUENCING PANEL (MORE THAN 100 TARGETS/GENES) (rare-disease report),England,,183.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC22_test_10,,MEDIUM NEXT GENERATION SEQUENCING PANEL (BETWEEN 20-100 TARGETS/GENES) (test),England,,255.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC22_cancer_report_10,,MEDIUM NEXT GENERATION SEQUENCING PANEL (BETWEEN 20-100 TARGETS/GENES) (cancer report),England,,153.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
NHS TMC,GBP,genomics,2026-04-01,,,TMC22_rare-disease_report_10,,MEDIUM NEXT GENERATION SEQUENCING PANEL (BETWEEN 20-100 TARGETS/GENES) (rare-disease report),England,,153.0,guide price,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": null, ""source_id"": ""uk_nhs_payment_scheme"", ""source_url"": ""https://www.england.nhs.uk/wp-content/uploads/2026/03/26-27-NHSPS-Annex-A-Prices-workbook.xlsx"", ""source_version"": ""uk_nhs_payment_scheme_2026_27_annex_a"", ""transformation_notes"": ""Parsed only numeric values from the labelled genomics guide-price sheet; no coverage, cost, or cross-system equivalence inference.""}",,,uk_nhs_payment_scheme
