decision_date,decision_id,decision_status,economic_notes,evidence_standard,jurisdiction,provenance,restriction_summary,source_id,technology_domain,technology_name
2024-05-27,NCD-1-v3,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Routine Costs in Clinical Trials
1966-01-01,NCD-2-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Colonic Irrigation
1966-01-01,NCD-3-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Manipulation
1966-01-01,NCD-4-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,"Heat Treatment, Including the Use of Diathermy and Ultra-Sound for Pulmonary Conditions"
1966-01-01,NCD-5-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Ultrasonic Surgery
1966-01-01,NCD-6-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Cellular Therapy
1966-01-01,NCD-7-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Thermogenic Therapy
1966-01-01,NCD-8-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Carotid Body Resection/Carotid Body Denervation
1966-01-01,NCD-9-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Phaco-Emulsification Procedure - Cataract Extraction
2020-01-21,NCD-11-v2,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Acupuncture
2017-04-03,NCD-12-v4,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Hyperbaric Oxygen Therapy
1966-01-01,NCD-13-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Sterilization
1989-05-01,NCD-14-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,"Plastic Surgery to Correct ""Moon Face"""
1999-09-27,NCD-15-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,"Prolotherapy, Joint Sclerotherapy, and Ligamentous Injections with Sclerosing Agents"
1966-01-01,NCD-16-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Consultations with a Beneficiary's Family and Associates
1988-09-01,NCD-17-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Postural Drainage Procedures and Pulmonary Exercises
2006-06-19,NCD-18-v2,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Vitrectomy
1966-01-01,NCD-19-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Induced Lesions of Nerve Tracts
2023-04-10,NCD-20-v3,not_covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Electrosleep Therapy - RETIRED
1966-01-01,NCD-21-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Intravenous Histamine Therapy
