code_system,currency,domain,effective_from,effective_to,facility_component,item_code,item_description,item_label,jurisdiction,patient_amount,payment_amount,payment_unit,professional_component,provenance,restriction_text,setting,source_id
FDA_PRODUCT_CODE,,devices,,,,HEB,An unscented menstrual tampon is a plug made of cellulosic or synthetic material that is inserted into the vagina and used to absorb menstrual fluid or other vaginal discharge.,"Tampon, Menstrual, Unscented",United States,,,device_classification,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-23T00:00:00Z"", ""source_id"": ""us_fda_device_classification"", ""source_url"": ""https://api.fda.gov/device/classification.json?limit=1000"", ""source_version"": ""us_fda_device_classification_20260723_page1"", ""transformation_notes"": ""Parsed public openFDA generic classification fields. This is not clinical advice, a reimbursement price, or a complete device corpus.""}",device_class=2;regulation=884.5470,Obstetrics/Gynecology,us_fda_device_classification
FDA_PRODUCT_CODE,,devices,,,,QMY,A computerized behavioral therapy device for treating symptoms of gastrointestinal conditions is a prescription device intended to provide a computerized version of condition-specific therapy as an adjunct to standard of care treatments to patients with gastrointestinal conditions.,Computerized Behavioral Therapy Device For Treating Symptoms,United States,,,device_classification,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-23T00:00:00Z"", ""source_id"": ""us_fda_device_classification"", ""source_url"": ""https://api.fda.gov/device/classification.json?limit=1000"", ""source_version"": ""us_fda_device_classification_20260723_page1"", ""transformation_notes"": ""Parsed public openFDA generic classification fields. This is not clinical advice, a reimbursement price, or a complete device corpus.""}",device_class=2;regulation=876.5960,"Gastroenterology, Urology",us_fda_device_classification
FDA_PRODUCT_CODE,,devices,,,,QNL,The adjunctive predictive cardiovascular indicator is a prescription device that uses software algorithms to analyze cardiovascular vital signs and predict future cardiovascular status or events within a defined medium-term period. This device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.,Medium-Term Adjunctive Predictive Cardiovascular Indicator,United States,,,device_classification,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-23T00:00:00Z"", ""source_id"": ""us_fda_device_classification"", ""source_url"": ""https://api.fda.gov/device/classification.json?limit=1000"", ""source_version"": ""us_fda_device_classification_20260723_page1"", ""transformation_notes"": ""Parsed public openFDA generic classification fields. This is not clinical advice, a reimbursement price, or a complete device corpus.""}",device_class=2;regulation=870.2210,Cardiovascular,us_fda_device_classification
FDA_PRODUCT_CODE,,devices,,,,JIG,,"Electrode, Ion-Specific Method, Ammonia",United States,,,device_classification,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-23T00:00:00Z"", ""source_id"": ""us_fda_device_classification"", ""source_url"": ""https://api.fda.gov/device/classification.json?limit=1000"", ""source_version"": ""us_fda_device_classification_20260723_page1"", ""transformation_notes"": ""Parsed public openFDA generic classification fields. This is not clinical advice, a reimbursement price, or a complete device corpus.""}",device_class=1;regulation=862.1065,Clinical Chemistry,us_fda_device_classification
FDA_PRODUCT_CODE,,devices,,,,OKG,"This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",Body Fluid Clean Up Kit,United States,,,device_classification,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-23T00:00:00Z"", ""source_id"": ""us_fda_device_classification"", ""source_url"": ""https://api.fda.gov/device/classification.json?limit=1000"", ""source_version"": ""us_fda_device_classification_20260723_page1"", ""transformation_notes"": ""Parsed public openFDA generic classification fields. This is not clinical advice, a reimbursement price, or a complete device corpus.""}",device_class=2;regulation=878.4040,"General, Plastic Surgery",us_fda_device_classification
FDA_PRODUCT_CODE,,devices,,,,QVF,"A simple point-of-care device to detect SARS-CoV-2 viral targets directly from clinical specimens in near-patient settings is an in vitro diagnostic device for the direct detection of SARS-CoV-2 in clinical specimens and is intended as an aid in the diagnosis of SARS-CoV-2 infections COVID-19). The device is simple to use and does not involve sample manipulation, transportation of the sample to another functional area (e.g., a central laboratory or other specialized area), or measurement of reagents or analytes that could be affected by conditions such as sample turbidity or cell lysis. The design and procedures of the device are appropriate for use by healthcare professionals in near-patient settings outside a centralized laboratory",Simple Point-Of-Care Device To Directly Detect Sars-Cov-2 Viral Targets From Clinical Specimens In Near-Patient Settings,United States,,,device_classification,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-23T00:00:00Z"", ""source_id"": ""us_fda_device_classification"", ""source_url"": ""https://api.fda.gov/device/classification.json?limit=1000"", ""source_version"": ""us_fda_device_classification_20260723_page1"", ""transformation_notes"": ""Parsed public openFDA generic classification fields. This is not clinical advice, a reimbursement price, or a complete device corpus.""}",device_class=2;regulation=866.3982,Microbiology,us_fda_device_classification
FDA_PRODUCT_CODE,,devices,,,,INY,,"Bed, Patient Rotation, Manual",United States,,,device_classification,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-23T00:00:00Z"", ""source_id"": ""us_fda_device_classification"", ""source_url"": ""https://api.fda.gov/device/classification.json?limit=1000"", ""source_version"": ""us_fda_device_classification_20260723_page1"", ""transformation_notes"": ""Parsed public openFDA generic classification fields. This is not clinical advice, a reimbursement price, or a complete device corpus.""}",device_class=1;regulation=890.5180,Physical Medicine,us_fda_device_classification
FDA_PRODUCT_CODE,,devices,,,,BXO,,"Transducer, Gas Pressure",United States,,,device_classification,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-23T00:00:00Z"", ""source_id"": ""us_fda_device_classification"", ""source_url"": ""https://api.fda.gov/device/classification.json?limit=1000"", ""source_version"": ""us_fda_device_classification_20260723_page1"", ""transformation_notes"": ""Parsed public openFDA generic classification fields. This is not clinical advice, a reimbursement price, or a complete device corpus.""}",device_class=1;regulation=868.2900,Anesthesiology,us_fda_device_classification
FDA_PRODUCT_CODE,,devices,,,,DYO,,"Band, Material, Orthodontic",United States,,,device_classification,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-23T00:00:00Z"", ""source_id"": ""us_fda_device_classification"", ""source_url"": ""https://api.fda.gov/device/classification.json?limit=1000"", ""source_version"": ""us_fda_device_classification_20260723_page1"", ""transformation_notes"": ""Parsed public openFDA generic classification fields. This is not clinical advice, a reimbursement price, or a complete device corpus.""}",device_class=1;regulation=872.5410,Dental,us_fda_device_classification
FDA_PRODUCT_CODE,,devices,,,,OJX,Drug eluting permanent lv pacemaker electrodes are used with compatible cardiac rhythm therapy (crt) devices to deliver pacing pulses to the heart.,Drug Eluting Permanent Left Ventricular (Lv) Pacemaker Electrode,United States,,,device_classification,,"{""effective_date"": null, ""licence_class"": ""public_reuse_unclear"", ""retrieved_at"": ""2026-07-23T00:00:00Z"", ""source_id"": ""us_fda_device_classification"", ""source_url"": ""https://api.fda.gov/device/classification.json?limit=1000"", ""source_version"": ""us_fda_device_classification_20260723_page1"", ""transformation_notes"": ""Parsed public openFDA generic classification fields. This is not clinical advice, a reimbursement price, or a complete device corpus.""}",device_class=3;regulation=,Unknown,us_fda_device_classification
