decided_at,decision_id,from_layer,input_sha256,passed_gate_ids,reason_codes,required_gate_ids,scope_notes,status,subject_id,to_layer
1970-01-01T00:00:00Z,promotion:b0-b1:catalog_au_aihw_mbs_pbs_stats,bronze_b0,"[""926f92ec9d513e30b01cb0581dc89063b64dccd446289aa3afdbadbf21e37602""]",[],"[""acquisition_missing""]","[""acquisition_event_recorded""]",B0 presence alone does not establish acquisition or coverage.,blocked,catalog_au_aihw_mbs_pbs_stats,bronze_b1
1970-01-01T00:00:00Z,promotion:b0-b1:catalog_au_ihacpa_nep,bronze_b0,"[""85dd09b3a4a84b8b8c6e271df76a0376bb1b60acee05a584df7486ffe5244d52""]",[],"[""acquisition_missing""]","[""acquisition_event_recorded""]",B0 presence alone does not establish acquisition or coverage.,blocked,catalog_au_ihacpa_nep,bronze_b1
1970-01-01T00:00:00Z,promotion:b0-b1:catalog_au_mbs,bronze_b0,"[""e05cbfa4786a1a2d093c449c38242708731f51a0e9fdfa85e5230802f0bf6eaf""]","[""acquisition_event_recorded""]","[""acquired_checksum_bound""]","[""acquisition_event_recorded""]",B0 presence alone does not establish acquisition or coverage.,approved,catalog_au_mbs,bronze_b1
1970-01-01T00:00:00Z,promotion:b0-b1:catalog_au_msac,bronze_b0,"[""c38cd506f74a10c5f35bf911a488ebf3a4fc6d08cc3d4cb90d4ea8b9fca309b8""]",[],"[""acquisition_missing""]","[""acquisition_event_recorded""]",B0 presence alone does not establish acquisition or coverage.,blocked,catalog_au_msac,bronze_b1
1970-01-01T00:00:00Z,promotion:b0-b1:catalog_au_pbac,bronze_b0,"[""369e07a1465ee7ce3bece44f033491effa440930d0fe8b31d0420fa74cb16c3a""]",[],"[""acquisition_missing""]","[""acquisition_event_recorded""]",B0 presence alone does not establish acquisition or coverage.,blocked,catalog_au_pbac,bronze_b1
1970-01-01T00:00:00Z,promotion:b0-b1:catalog_au_pbs,bronze_b0,"[""f07d4ac1ce67860b1a256b7cdaba244a18147ca576ac976849aacb3bda7cb4eb""]","[""acquisition_event_recorded""]","[""acquired_checksum_bound""]","[""acquisition_event_recorded""]",B0 presence alone does not establish acquisition or coverage.,approved,catalog_au_pbs,bronze_b1
1970-01-01T00:00:00Z,promotion:b0-b1:catalog_be_inami,bronze_b0,"[""e98b659c0d5e431831980eaa5966e150618bf119f8141867d5f744afe5c7c8ef""]",[],"[""acquisition_missing""]","[""acquisition_event_recorded""]",B0 presence alone does not establish acquisition or coverage.,blocked,catalog_be_inami,bronze_b1
1970-01-01T00:00:00Z,promotion:b0-b1:catalog_br_sigtap,bronze_b0,"[""df320cea46c963c3abcccccc0ed7253824316d26649b3b5be14eee831c4b3061""]",[],"[""acquisition_missing""]","[""acquisition_event_recorded""]",B0 presence alone does not establish acquisition or coverage.,blocked,catalog_br_sigtap,bronze_b1
1970-01-01T00:00:00Z,promotion:b0-b1:catalog_ca_ab_somb,bronze_b0,"[""07f1db06f6f3dae7ecbb1e745a62fc07b2613f914531c93e162347759d038bb5""]",[],"[""acquisition_missing""]","[""acquisition_event_recorded""]",B0 presence alone does not establish acquisition or coverage.,blocked,catalog_ca_ab_somb,bronze_b1
1970-01-01T00:00:00Z,promotion:b0-b1:catalog_ca_bc_msp,bronze_b0,"[""6f9c8d61c40b2976cdac4a283fce8d93f0a9a3f4bff535b058f3d0b419e1b6e3""]",[],"[""acquisition_missing""]","[""acquisition_event_recorded""]",B0 presence alone does not establish acquisition or coverage.,blocked,catalog_ca_bc_msp,bronze_b1
