action,current_uses,line,notes,ref,resolved_sha,status,suggested_uses,workflow
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,27,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/action-pin-maintenance.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@f00437f565399d418b0acc85936d12c1fb668347,31,Already pinned to a full SHA.,f00437f565399d418b0acc85936d12c1fb668347,,skipped_sha,,.github/workflows/action-pin-maintenance.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,79,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/action-pin-maintenance.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,17,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/ci.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@f00437f565399d418b0acc85936d12c1fb668347,21,Already pinned to a full SHA.,f00437f565399d418b0acc85936d12c1fb668347,,skipped_sha,,.github/workflows/ci.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,60,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/ci.yml
actions/setup-node,actions/setup-node@820762786026740c76f36085b0efc47a31fe5020,63,Already pinned to a full SHA.,820762786026740c76f36085b0efc47a31fe5020,,skipped_sha,,.github/workflows/ci.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,85,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/ci.yml
actions/setup-python,actions/setup-python@5fda3b95a4ea91299a34e894583c3862153e4b97,88,Already pinned to a full SHA.,5fda3b95a4ea91299a34e894583c3862153e4b97,,skipped_sha,,.github/workflows/ci.yml
astral-sh/setup-uv,astral-sh/setup-uv@ae62891fec2bb8e7d6c99fc78c9fec3a63790f8d,91,Already pinned to a full SHA.,ae62891fec2bb8e7d6c99fc78c9fec3a63790f8d,,skipped_sha,,.github/workflows/ci.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,21,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/dashboard-browser.yml
actions/setup-node,actions/setup-node@820762786026740c76f36085b0efc47a31fe5020,24,Already pinned to a full SHA.,820762786026740c76f36085b0efc47a31fe5020,,skipped_sha,,.github/workflows/dashboard-browser.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,43,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/dashboard-browser.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,20,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/dashboard-preview.yml
actions/setup-node,actions/setup-node@820762786026740c76f36085b0efc47a31fe5020,23,Already pinned to a full SHA.,820762786026740c76f36085b0efc47a31fe5020,,skipped_sha,,.github/workflows/dashboard-preview.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@f00437f565399d418b0acc85936d12c1fb668347,28,Already pinned to a full SHA.,f00437f565399d418b0acc85936d12c1fb668347,,skipped_sha,,.github/workflows/dashboard-preview.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,18,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/data-smoke.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@f00437f565399d418b0acc85936d12c1fb668347,21,Already pinned to a full SHA.,f00437f565399d418b0acc85936d12c1fb668347,,skipped_sha,,.github/workflows/data-smoke.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,23,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/github-security-settings.yml
astral-sh/setup-uv,astral-sh/setup-uv@ae62891fec2bb8e7d6c99fc78c9fec3a63790f8d,26,Already pinned to a full SHA.,ae62891fec2bb8e7d6c99fc78c9fec3a63790f8d,,skipped_sha,,.github/workflows/github-security-settings.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,34,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/github-security-settings.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,31,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/harness-assurance.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@f00437f565399d418b0acc85936d12c1fb668347,35,Already pinned to a full SHA.,f00437f565399d418b0acc85936d12c1fb668347,,skipped_sha,,.github/workflows/harness-assurance.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,45,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/harness-assurance.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@f00437f565399d418b0acc85936d12c1fb668347,49,Already pinned to a full SHA.,f00437f565399d418b0acc85936d12c1fb668347,,skipped_sha,,.github/workflows/harness-assurance.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,110,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/harness-assurance.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,27,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/historical-source-inventory.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@f00437f565399d418b0acc85936d12c1fb668347,31,Already pinned to a full SHA.,f00437f565399d418b0acc85936d12c1fb668347,,skipped_sha,,.github/workflows/historical-source-inventory.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,25,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/huggingface-destination.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,35,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/huggingface-destination.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,26,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/huggingface.yml
astral-sh/setup-uv,astral-sh/setup-uv@ae62891fec2bb8e7d6c99fc78c9fec3a63790f8d,29,Already pinned to a full SHA.,ae62891fec2bb8e7d6c99fc78c9fec3a63790f8d,,skipped_sha,,.github/workflows/huggingface.yml
actions/setup-node,actions/setup-node@820762786026740c76f36085b0efc47a31fe5020,32,Already pinned to a full SHA.,820762786026740c76f36085b0efc47a31fe5020,,skipped_sha,,.github/workflows/huggingface.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,53,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/huggingface.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,68,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/huggingface.yml
astral-sh/setup-uv,astral-sh/setup-uv@ae62891fec2bb8e7d6c99fc78c9fec3a63790f8d,71,Already pinned to a full SHA.,ae62891fec2bb8e7d6c99fc78c9fec3a63790f8d,,skipped_sha,,.github/workflows/huggingface.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,125,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/huggingface.yml
astral-sh/setup-uv,astral-sh/setup-uv@ae62891fec2bb8e7d6c99fc78c9fec3a63790f8d,128,Already pinned to a full SHA.,ae62891fec2bb8e7d6c99fc78c9fec3a63790f8d,,skipped_sha,,.github/workflows/huggingface.yml
actions/setup-node,actions/setup-node@820762786026740c76f36085b0efc47a31fe5020,131,Already pinned to a full SHA.,820762786026740c76f36085b0efc47a31fe5020,,skipped_sha,,.github/workflows/huggingface.yml
actions/checkout,actions/checkout@3d3c42e5aac5ba805825da76410c181273ba90b1,20,Already pinned to a full SHA.,3d3c42e5aac5ba805825da76410c181273ba90b1,,skipped_sha,,.github/workflows/mutation-nightly.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@f00437f565399d418b0acc85936d12c1fb668347,23,Already pinned to a full SHA.,f00437f565399d418b0acc85936d12c1fb668347,,skipped_sha,,.github/workflows/mutation-nightly.yml
